SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1232	6	-5	52.96	52.84	2	5	2	5	2	2.2	5
1232	7	-6	57.12	52.45	2	5	2	5	2	2.2	5
1233	-3	2	57.2	44.9	-999	-999	-999	-999	-999	-999	-999
1233	-2	4	54.9	42.6	-999	-999	-999	-999	-999	-999	-999
1233	-1	6	52.3	50.2	-999	-999	-999	-999	-999	-999	-999
1233	0	0	56.9	45.4	4	8.1	-999	-999	2	2.1	0
1233	1	-1	57.4	45.4	1.1	1	-999	-999	2	1.1	1
1233	2	-2	52.3	42.6	4	8.1	4	8.1	2	2.1	2
1233	3	3	62.6	46.2	4	9.1	4	9.1	3.2	12	3
1233	4	-3	52.3	50.2	2	5	2	5	2	2.2	4
1233	5	-4	52.3	50.2	2	5	-999	-999	2	2.2	5
1233	6	-5	57.4	45.4	2	5	2	5	2	2.2	5
1233	7	-6	57.4	45.4	2	5	2	5	2	2.2	5
1234	-3	2	58.49	55.24	-999	-999	-999	-999	-999	-999	-999
1234	-2	4	67.66	57.84	-999	-999	-999	-999	-999	-999	-999
1234	-1	6	56.2	50.2	-999	-999	-999	-999	-999	-999	-999
1234	0	0	57.71	52.43	4	8.1	-999	-999	2	2.1	0
1234	1	-1	71.78	56.47	1.1	1	-999	-999	2	1.1	1
1234	2	-2	63.54	57.84	4	8.1	4	8.1	2	2.1	2
1234	3	3	52.86	53.03	4	9.1	4	9.1	3.2	12	3
1234	4	-3	56.29	50.32	2	5	2	5	2	2.2	4
1234	5	-4	56.29	50.32	2	5	-999	-999	2	2.2	5
1234	6	-5	56.99	50.93	2	5	2	5	2	2.2	5
1234	7	-6	57.11	50.93	2	5	2	5	2	2.2	5
1235	-3	2	51.12	48.54	-999	-999	-999	-999	-999	-999	-999
1235	-2	4	58.19	50.49	-999	-999	-999	-999	-999	-999	-999
1235	-1	6	50.42	51.25	-999	-999	-999	-999	-999	-999	-999
1235	0	0	51.48	49.47	2	5	-999	-999	2	2.2	0
1235	1	-1	60.64	51.45	1.1	1	-999	-999	2	1.1	1
1235	2	-2	55.74	50.49	4	8.1	4	8.1	2	2.1	2
1235	3	3	48.29	46.18	4	9.1	4	9.1	3.2	12	3
1235	4	-3	50.42	50.48	2	5	2	5	2	2.2	4
1235	5	-4	50.42	50.48	2	5	-999	-999	2	2.2	5
1235	6	-5	44.27	50.65	2	5	2	5	2	2.2	5
1235	7	-6	49.52	53.72	2	5	2	5	2	2.2	5
1239	-3	2	59.41	56.52	-999	-999	-999	-999	-999	-999	-999
1239	-2	4	65.07	58.71	-999	-999	-999	-999	-999	-999	-999
1239	-1	6	60.88	58.05	-999	-999	-999	-999	-999	-999	-999
1239	0	0	60.16	57.88	2	5	-999	-999	2	2.2	0
1239	1	-1	69.07	59.01	1.1	1	-999	-999	2	1.1	1
1239	2	-2	61.08	58.71	4	8.1	4	8.1	2	2.1	2
1239	3	3	57.62	54.41	4	9.1	4	9.1	3.2	12	3
1239	4	-3	62.23	58.38	2	5	2	5	2	2.2	4
1239	5	-4	62.23	58.38	2	5	-999	-999	2	2.2	5
1239	6	-5	60.48	57.99	2	5	2	5	2	2.2	5
1239	7	-6	60.4	58.09	2	5	2	5	2	2.2	5
2111	-3	2	77	81.6	-999	-999	-999	-999	-999	-999	-999
2111	-2	4	75.8	81.6	-999	-999	-999	-999	-999	-999	-999
2111	-1	6	73.3	81.6	-999	-999	-999	-999	-999	-999	-999
2111	0	0	73.4	81.6	1.2	3.1	-999	-999	1	4	0
2111	1	-1	78.3	81.6	1.2	3.3	-999	-999	1	3	1
2111	2	-2	73.3	81.6	1.2	3.3	1.2	3.3	1	3	2
2111	3	3	78.3	81.6	1.2	3.3	1.2	3.3	1	3	3
