cno94	stdempst	spempst	mcamsis	fcamsis
532	2	-2	50.9	51.9
532	3	2	50.9	51.9
532	4	1	54.8	51.9
532	5	3	54.8	55.5
532	6	4	54.8	52.6
533	0	0	47	50.5
533	1	-1	50.97	54.4
533	2	-2	51.03	51.9
533	3	2	50.9	51.9
533	4	1	51.5	51.9
533	5	3	50.9	55.5
533	6	4	46.6	49.8
601	0	0	41.28	29.5
601	1	-1	41.29	29.5
601	2	-2	41.29	29.5
601	3	2	40.5	29.5
601	4	1	50	29.5
601	5	3	41.4	29.5
601	6	4	40.5	29.5
602	0	0	28.1	30.7
602	1	-1	28.1	30.7
602	2	-2	28.1	30.7
602	3	2	28.1	30.7
602	4	1	28.1	30.7
602	5	3	28.1	30.7
602	6	4	28.1	30.7
611	0	0	45.09	23.3
611	1	-1	45.09	23.3
611	2	-2	45.15	23.3
611	3	2	44.4	23.3
611	4	1	54.6	23.3
611	5	3	44.4	23.3
611	6	4	46.8	23.3
612	0	0	22.4	30.7
612	1	-1	22.4	23.3
612	2	-2	22.4	23.3
612	3	2	22.4	23.3
612	4	1	22.4	23.3
612	5	3	22.4	23.3
612	6	4	22.4	30.7
621	0	0	40.83	34
621	1	-1	40.83	34
621	2	-2	40.85	34
621	3	2	40	34
621	4	1	54.6	34
621	5	3	40	34
621	6	4	40	34
622	0	0	44.86	34
622	1	-1	44.86	34
622	2	-2	44.86	34
622	3	2	40	34
622	4	1	54.6	34
622	5	3	40	34
622	6	4	40	34
623	0	0	26.2	30.7
623	1	-1	40	34
623	2	-2	40	34
623	3	2	40	34
623	4	1	40	34
623	5	3	40	34
623	6	4	26.2	30.7
624	0	0	26.2	30.7
624	1	-1	40	34
624	2	-2	40	34
624	3	2	40	34
624	4	1	40	34
624	5	3	40	34
624	6	4	26.2	30.7
631	0	0	44.49	33.73
631	1	-1	44.49	33.73
631	2	-2	44.49	34
631	3	2	40	34
631	4	1	54.6	29.8
631	5	3	26.2	29.8
631	6	4	26.2	30.7
632	0	0	26.2	30.7
632	1	-1	26.2	29.66
632	2	-2	26.2	29.6
632	3	2	26.2	29.4
632	4	1	26.2	29.8
632	5	3	26.2	29.8
632	6	4	26.2	30.7
701	0	0	46.34	41.8
701	1	-1	45.5	49.6
701	2	-2	45.2	52.65
701	3	2	46.4	54.5
701	4	1	45.2	50.8
701	5	3	47.6	43.5
701	6	4	46.4	41.8
702	0	0	43.06	47.62
702	1	-1	45.2	49.6
702	2	-2	45.2	52.65
702	3	2	42.8	54.5
702	4	1	45.2	50.8
702	5	3	42.8	43.5
702	6	4	42.8	41.7
703	0	0	42.8	47.62
703	1	-1	45.9	49.6
703	2	-2	45.9	52.65
703	3	2	45.9	54.5
703	4	1	45.9	50.8
703	5	3	45.9	43.5
703	6	4	42.8	41.7
711	0	0	30.68	44.14
711	1	-1	34.05	53.5
711	2	-2	34.05	46.3
711	3	2	33.3	41.8
711	4	1	35.6	50.8
711	5	3	30.7	67.9
711	6	4	30.1	41.8
712	0	0	31.54	50.62
712	1	-1	34.18	56.5
712	2	-2	34.18	56.5
712	3	2	33.3	67.9
712	4	1	35.6	50.8
712	5	3	31.3	41.8
712	6	4	31.3	41.8
713	0	0	40.21	41.8
713	1	-1	46.64	41.8
713	2	-2	46.64	41.8
713	3	2	47.6	41.8
713	4	1	45.2	41.8
713	5	3	40.6	41.8
713	6	4	37.7	41.8
714	0	0	41.55	41.8
714	1	-1	47.6	41.8
714	2	-2	47.6	41.8
714	3	2	47.6	41.8
714	4	1	41.3	41.8
714	5	3	41.3	41.8
714	6	4	41.3	41.8
721	0	0	38.17	54.75
721	1	-1	43.32	67.9
721	2	-2	43.32	67.9
721	3	2	42.4	67.9
721	4	1	46.1	41.6
721	5	3	37.4	41.6
721	6	4	35.6	41.6
722	0	0	45.36	53.96
722	1	-1	46.74	62.2
722	2	-2	46.74	59.35
722	3	2	46	67.9
722	4	1	48.9	50.8
722	5	3	45.5	67.9
722	6	4	44.6	41.6
723	0	0	47.27	41.6
723	1	-1	51.33	41.6
723	2	-2	51.33	41.6
723	3	2	49.8	41.6
723	4	1	54.1	41.6
723	5	3	47.3	41.6
723	6	4	45.7	41.6
724	0	0	40.58	43.62
724	1	-1	45.89	59.13
724	2	-2	45.89	67.9
724	3	2	45.8	67.9
724	4	1	46.1	41.6
724	5	3	40.7	41.6
724	6	4	38.3	41.6
725	0	0	41.7	41.6
725	1	-1	46.86	41.6
725	2	-2	48.4	41.6
725	3	2	47.3	41.6
725	4	1	49.5	41.6
725	5	3	43.8	41.6
725	6	4	41.7	41.6
729	0	0	44.01	54.75
729	1	-1	51.24	62.64
729	2	-2	51.24	62.64
729	3	2	51.9	67.9
729	4	1	48.9	41.6
729	5	3	43.7	41.6
729	6	4	41.7	41.6
731	0	0	44.8	47.62
731	1	-1	44.8	49.6
731	2	-2	44.8	52.65
731	3	2	44.8	54.5
731	4	1	44.8	50.8
731	5	3	44.8	43.5
731	6	4	44.8	41.7
732	0	0	55.4	47.62
732	1	-1	55.4	49.6
732	2	-2	55.4	52.65
732	3	2	55.4	54.5
732	4	1	55.4	50.8
732	5	3	55.4	43.5
732	6	4	55.4	41.7
733	0	0	53.4	47.62
733	1	-1	51.7	49.6
733	2	-2	51.7	52.65
733	3	2	51.7	54.5
733	4	1	51.7	50.8
733	5	3	51.7	43.5
733	6	4	53.4	41.7
734	0	0	53.4	41.6
734	1	-1	53.4	49.6
734	2	-2	53.4	52.65
734	3	2	53.4	54.5
734	4	1	53.4	50.8
734	5	3	53.4	43.5
734	6	4	53.4	41.6
741	0	0	34.9	47.62
741	1	-1	34.9	49.6
741	2	-2	34.9	52.65
741	3	2	34.9	54.5
741	4	1	34.9	50.8
741	5	3	34.9	43.5
741	6	4	34.9	41.7
742	0	0	35.32	41.8
742	1	-1	41.45	49.6
742	2	-2	41.45	52.65
742	3	2	39.5	54.5
742	4	1	43.4	50.8
742	5	3	34.9	43.5
742	6	4	34.9	41.8
751	0	0	41.95	42.61
751	1	-1	41.36	50.8
751	2	-2	41.36	50.8
751	3	2	39.5	54.5
751	4	1	43.4	50.8
751	5	3	42	43.5
751	6	4	42	41.8
752	0	0	41.6	43.94
752	1	-1	40.61	47.15
752	2	-2	40.61	50.8
752	3	2	39.5	54.5
752	4	1	43.4	50.8
752	5	3	41.3	43.5
752	6	4	41.8	41.8
761	0	0	46.87	41.8
761	1	-1	52.69	49.6
761	2	-2	52.69	52.65
761	3	2	46.3	54.5
761	4	1	58.1	50.8
761	5	3	47.2	43.5
761	6	4	45.9	41.8
762	0	0	50.78	51.37
762	1	-1	50.03	67.9
762	2	-2	50.03	67.9
762	3	2	46.7	67.9
762	4	1	58.1	50.8
762	5	3	50.5	43.5
762	6	4	50.9	50
