BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
20000	0	0	42.71	39.15
20000	1	-1	54.46	49.08
20000	2	1	55.04	55.73
20000	5	2	48.36	39.48
20000	6	3	39.92	37.97
21000	0	0	37.97	33.23
21000	1	-1	42.23	31.76
21000	2	1	42.26	38.27
21000	5	2	41.88	26.98
21000	6	3	34.99	33.66
21100	0	0	38.22	32.74
21100	1	-1	42.23	31.09
21100	2	1	42.26	37.69
21100	5	2	41.91	26.33
21100	6	3	35.22	33.29
21101	0	0	32.11	34.48
21101	1	-1	42.25	25.9
21101	2	1	42.5	48.8
21101	5	2	42	25.9
21101	6	3	31.5	34.6
21102	0	0	36.77	29.46
21102	1	-1	42.82	28.7
21102	2	1	42.9	28.7
21102	5	2	42.2	28.7
21102	6	3	33.3	30
21103	0	0	39.72	34.89
21103	1	-1	41.8	36.04
21103	2	1	41.8	47.6
21103	5	2	41.8	26.1
21103	6	3	37.5	34.6
21104	0	0	40.27	34.63
21104	1	-1	41.8	49.6
21104	2	1	41.8	49.6
21104	5	2	41.8	49.6
21104	6	3	40	33.7
21105	0	0	38.33	29.41
21105	1	-1	41.47	21.7
21105	2	1	41.5	21.7
21105	5	2	41.1	21.7
21105	6	3	35.9	33.3
21106	0	0	37.35	24.76
21106	1	-1	49.32	25.9
21106	2	1	50.5	48.8
21106	5	2	41.1	25.9
21106	6	3	34.7	24.2
21107	0	0	35.35	26.77
21107	1	-1	50.5	49.6
21107	2	1	50.5	49.6
21107	5	2	42	49.6
21107	6	3	31.5	24.2
21200	0	0	33.89	39.48
21200	1	-1	42.21	47.44
21200	2	1	42.5	49.6
21200	5	2	41.1	46.21
21200	6	3	32.55	37.5
21201	0	0	32.53	35.56
21201	1	-1	42.5	25.9
21201	2	1	42.5	48.8
21201	5	2	41.1	25.9
21201	6	3	32.2	37.5
21202	0	0	33.15	39.86
21202	1	-1	42.17	49.6
21202	2	1	42.5	49.6
21202	5	2	41.1	49.6
21202	6	3	31.5	37.5
21203	0	0	42.59	40.52
21203	1	-1	42.3	49.6
21203	2	1	42.5	49.6
21203	5	2	41.1	49.6
21203	6	3	42.7	37.5
21300	0	0	29.52	8.49
21300	1	-1	42.5	49.6
21300	2	1	42.5	33
21300	5	2	35.2	49.6
21300	6	3	28.6	7.7
21301	0	0	29.52	8.49
21301	1	-1	42.5	49.6
21301	2	1	42.5	7.7
21301	5	2	28.6	49.6
21301	6	3	28.6	7.7
21400	0	0	28.6	52.75
21400	1	-1	42.9	49.6
21400	2	1	42.35	49.6
21400	5	2	41.8	49.6
21400	6	3	28.6	53
21401	0	0	28.6	52.75
21401	1	-1	42.9	49.6
21401	2	1	42.9	49.6
21401	5	2	41.8	49.6
21401	6	3	28.6	53
22000	0	0	31.35	30.54
22000	1	-1	43.08	45.36
22000	2	1	42.88	48.79
22000	5	2	45.39	34.19
22000	6	3	28.53	28.46
22100	0	0	27.67	25.58
22100	1	-1	46.4	49.49
22100	2	1	46.6	56.18
22100	5	2	45.09	31.7
22100	6	3	26.85	24.18
22101	0	0	22.52	20.68
22101	1	-1	46.6	51.2
22101	2	1	46.6	53.3
22101	5	2	22.1	31.7
22101	6	3	22.1	18.5
22102	0	0	28.94	24.28
22102	1	-1	45.69	54.69
22102	2	1	46.6	62.5
22102	5	2	28.5	31.7
22102	6	3	28.5	22.4
22103	0	0	35.66	36.64
22103	1	-1	46.6	45.6
22103	2	1	46.6	50.4
22103	5	2	46.6	31.7
22103	6	3	33.8	33.8
22104	0	0	25.34	27.24
22104	1	-1	46.6	40.74
22104	2	1	46.6	50.4
22104	5	2	46.6	31.7
22104	6	3	24.7	26.9
22200	0	0	32.49	32.09
22200	1	-1	41.78	44.91
22200	2	1	41.8	47.92
22200	5	2	41.58	33.79
22200	6	3	28.85	29.91
22201	0	0	32.36	37.55
22201	1	-1	41.8	46.52
22201	2	1	41.8	48.1
22201	5	2	41.8	35.8
22201	6	3	28.5	34.8
22202	0	0	28.38	23.7
22202	1	-1	41.8	37.43
22202	2	1	41.8	43.8
