ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
420	1	-1	59.31	48.47	-999	-999
420	2	1	59.28	56.05	-999	-999
420	5	2	60.36	44.47	-999	-999
420	6	3	45.7	48.82	-999	-999
421	0	0	46.29	44.96	-999	-999
421	1	-1	56.41	36.91	-999	-999
421	2	1	56.36	42.4	-999	-999
421	5	2	60.85	33.5	-999	-999
421	6	3	45.82	45.02	-999	-999
422	0	0	48.38	54.61	-999	-999
422	1	-1	66.21	53.36	-999	-999
422	2	1	66.51	62.8	-999	-999
422	5	2	60.08	48.73	-999	-999
422	6	3	44.3	54.64	-999	-999
500	0	0	47.85	43.15	-999	-999
500	1	-1	59.8	44.43	-999	-999
500	2	1	60.64	51.28	-999	-999
500	5	2	49.81	33.92	-999	-999
500	6	3	44.69	42.95	-999	-999
510	0	0	44.28	40.9	-999	-999
510	1	-1	55.1	44.8	-999	-999
510	2	1	56.21	51	-999	-999
510	5	2	45.34	26.65	-999	-999
510	6	3	42.3	40.26	-999	-999
511	0	0	44.31	66.69	-999	-999
511	1	-1	68.2	61.86	-999	-999
511	2	1	68.2	64.9	-999	-999
511	5	2	51.8	53.56	-999	-999
511	6	3	43.16	66.86	-999	-999
512	0	0	37.51	32.33	-999	-999
512	1	-1	47.04	24.44	-999	-999
512	2	1	48.06	49.02	-999	-999
512	5	2	44.59	21.68	-999	-999
512	6	3	36.38	32.79	-999	-999
513	0	0	50.57	47.06	-999	-999
513	1	-1	80.9	55.42	-999	-999
513	2	1	80.9	61.21	-999	-999
513	5	2	80.9	45.01	-999	-999
513	6	3	49.25	46.93	-999	-999
514	0	0	54.49	49.4	-999	-999
514	1	-1	57.9	49.25	-999	-999
514	2	1	58.14	50.66	-999	-999
514	5	2	48.38	35.18	-999	-999
514	6	3	51.26	49.59	-999	-999
515	0	0	49.6	39.43	-999	-999
515	1	-1	60.3	51	-999	-999
515	2	1	52.55	38.8	-999	-999
515	5	2	44.8	26.6	-999	-999
515	6	3	43.7	40.7	-999	-999
516	0	0	46.13	49.87	-999	-999
516	1	-1	56.13	59.95	-999	-999
516	2	1	56.25	65.85	-999	-999
516	5	2	46.6	48.17	-999	-999
516	6	3	45.7	49.72	-999	-999
520	0	0	54.66	45.5	-999	-999
520	1	-1	64.23	43.98	-999	-999
520	2	1	64.6	51.85	-999	-999
520	5	2	57.8	37.91	-999	-999
520	6	3	50.29	45.71	-999	-999
521	0	0	42.3	63.8	-999	-999
521	1	-1	64.6	63.8	-999	-999
521	2	1	61.2	63.8	-999	-999
521	5	2	57.8	63.8	-999	-999
521	6	3	42.3	63.8	-999	-999
522	0	0	54.66	45.48	-999	-999
522	1	-1	64.23	43.93	-999	-999
522	2	1	64.6	51.8	-999	-999
522	5	2	57.8	37.9	-999	-999
522	6	3	50.3	45.7	-999	-999
523	0	0	57.56	45.13	-999	-999
523	1	-1	64.6	51.8	-999	-999
523	2	1	61.2	44.85	-999	-999
523	5	2	57.8	37.9	-999	-999
523	6	3	50.3	45.7	-999	-999
600	0	0	43.25	27.42	-999	-999
600	1	-1	44.32	25.56	-999	-999
600	2	1	44.04	41.54	-999	-999
600	5	2	48.87	18.71	-999	-999
600	6	3	36.22	43.85	-999	-999
610	0	0	43.25	27.42	-999	-999
610	1	-1	44.32	25.56	-999	-999
610	2	1	44.04	41.54	-999	-999
610	5	2	48.87	18.71	-999	-999
610	6	3	36.22	43.85	-999	-999
611	0	0	43.66	43.56	-999	-999
611	1	-1	56.35	42	-999	-999
611	2	1	56.65	48.79	-999	-999
611	5	2	52.84	36.09	-999	-999
611	6	3	33.21	44.5	-999	-999
612	0	0	41.73	48.26	-999	-999
612	1	-1	43.34	49.79	-999	-999
612	2	1	43.06	48.4	-999	-999
612	5	2	48.4	52.6	-999	-999
612	6	3	39.75	46.3	-999	-999
613	0	0	43.22	24.57	-999	-999
