soc2010	es	gb_csm	gb_csf
3314	3	45.78	44.04
3314	4	45.78	44.04
3314	5	45.78	44.04
3315	0	45.34	44.04
3315	1	45.34	44.04
3315	2	45.34	44.04
3315	3	45.34	44.04
3315	4	45.34	44.04
3315	5	45.34	44.04
3319	0	46.58	44.04
3319	1	46.58	44.04
3319	2	46.58	44.04
3319	3	46.58	44.04
3319	4	46.58	44.04
3319	5	46.58	44.04
3411	0	77.44	79.56
3411	1	77.44	79.56
3411	2	77.44	79.56
3411	3	77.44	79.56
3411	4	77.44	79.56
3411	5	77.44	79.56
3412	0	76.19	80.29
3412	1	76.19	80.29
3412	2	76.19	80.29
3412	3	76.19	80.29
3412	4	76.19	80.29
3412	5	76.19	80.29
3413	0	58.16	62.41
3413	1	58.16	62.41
3413	2	58.16	62.41
3413	3	58.16	62.41
3413	4	58.16	62.41
3413	5	58.16	62.41
3414	0	58.16	62.41
3414	1	58.16	62.41
3414	2	58.16	62.41
3414	3	58.16	62.41
3414	4	58.16	62.41
3414	5	58.16	62.41
3415	0	70.73	88.51
3415	1	70.73	88.51
3415	2	70.73	88.51
3415	3	70.73	88.51
3415	4	70.73	88.51
3415	5	70.73	88.51
3416	0	75.65	79.11
3416	1	75.65	79.11
3416	2	75.65	79.11
3416	3	86.91	79.11
3416	4	86.91	79.11
3416	5	86.91	79.11
3417	0	74.22	68.27
3417	1	74.22	68.27
3417	2	74.22	68.27
3417	3	57.65	68.27
3417	4	57.65	68.27
3417	5	57.65	68.27
3421	0	63.21	63.73
3421	1	71.12	74.95
3421	2	71.12	74.95
3421	3	63.21	54.72
3421	4	63.21	54.72
3421	5	63.21	54.72
3422	0	68.51	71.67
3422	1	71.12	74.95
3422	2	71.12	74.95
3422	3	68.51	68.98
3422	4	68.51	68.98
3422	5	68.51	68.98
3441	0	54.08	55.83
3441	1	54.08	55.83
3441	2	54.08	55.83
3441	3	54.08	55.83
3441	4	54.08	55.83
3441	5	54.08	55.83
3442	0	54.08	55.83
3442	1	54.08	55.83
3442	2	54.08	55.83
3442	3	54.08	55.83
3442	4	54.08	55.83
3442	5	54.08	55.83
3443	0	57.68	72.6
3443	1	57.68	72.6
3443	2	57.68	72.6
3443	3	57.68	72.6
3443	4	57.68	72.6
3443	5	57.68	72.6
3511	0	62.96	59.66
3511	1	62.96	59.66
3511	2	62.96	59.66
3511	3	62.96	59.66
3511	4	62.96	59.66
3511	5	62.96	59.66
3512	0	77.37	59.66
3512	1	77.37	59.66
3512	2	77.37	59.66
3512	3	77.37	59.66
3512	4	77.37	59.66
3512	5	77.37	59.66
3513	0	62.96	59.66
3513	1	62.96	59.66
3513	2	62.96	59.66
3513	3	62.96	59.66
3513	4	62.96	59.66
3513	5	62.96	59.66
3520	0	65.74	67.2
3520	1	65.74	67.2
3520	2	65.74	67.2
3520	3	65.74	67.2
3520	4	65.74	67.2
3520	5	65.74	67.2
3531	0	56.29	57.39
3531	1	66.4	57.39
3531	2	59.81	63.7
3531	3	56.29	57.12
3531	4	56.29	57.12
3531	5	56.29	57.12
3532	0	57.48	60.42
3532	1	66.4	60.42
3532	2	59.81	63.7
3532	3	57.48	60.21
3532	4	57.48	60.21
3532	5	57.48	60.21
3533	0	58.68	56.58
3533	1	58.68	56.58
3533	2	58.68	56.58
3533	3	58.68	56.58
3533	4	58.68	56.58
3533	5	58.68	56.58
3534	0	64.45	58.55
3534	1	66.4	59.04
3534	2	59.43	63.7
3534	3	64.45	58.55
3534	4	64.45	58.55
3534	5	64.45	58.55
3535	0	63.85	58.98
3535	1	66.4	58.98
3535	2	59.43	63.7
3535	3	64.45	58.55
3535	4	64.45	58.55
3535	5	64.45	58.55
3536	0	59.45	58.52
3536	1	59.45	58.52
3536	2	59.43	58.52
3536	3	59.46	58.52
3536	4	59.45	58.52
3536	5	59.46	58.52
3537	0	59.45	58.85
3537	1	59.45	58.85
3537	2	59.43	63.7
3537	3	59.46	58.52
3537	4	59.46	58.52
3537	5	59.46	58.52
3538	0	62.89	60.46
3538	1	66.4	60.46
3538	2	59.43	63.7
3538	3	62.92	60.39
3538	4	62.92	60.39
3538	5	62.92	60.39
3539	0	59.58	58.84
3539	1	66.4	63.7
3539	2	59.43	63.7
3539	3	59.46	58.52
3539	4	59.46	58.52
3539	5	59.46	58.52
3541	0	58.39	57.2
3541	1	48.78	69.47
3541	2	48.78	57.2
3541	3	58.91	57.07
3541	4	58.91	57.07
3541	5	58.91	57.07
3542	0	51.55	51.54
3542	1	48.78	69.47
3542	2	48.78	69.47
3542	3	51.55	49.36
3542	4	51.55	49.36
3542	5	51.55	49.36
3543	0	61.83	60.07
3543	1	67.52	61.04
3543	2	67.52	69.47
3543	3	61.83	60.07
3543	4	61.83	60.07
3543	5	61.83	60.07
3544	0	58.11	54.86
3544	1	65.1	69.47
3544	2	65.1	69.47
3544	3	56.05	54.86
3544	4	56.05	54.86
3544	5	56.05	54.86
3545	0	59.61	63.82
3545	1	65.1	69.47
3545	2	65.1	69.47
3545	3	58.65	63.15
