isco88	empst3	mcamsis	fcamsis
721	2	42.4271	41.69835
721	3	42.10669	42.56023
722	0	41.69784	41.46104
722	1	35.63461	41.45823
722	2	35.63461	41.45823
722	3	41.83541	41.46105
723	0	43.23036	45.56098
723	1	43.3615	43.18648
723	2	43.3615	43.18648
723	3	43.22421	45.58994
724	0	48.40123	46.72916
724	1	49.22551	45.83707
724	2	49.22551	45.83707
724	3	48.39399	46.73384
730	0	46.95817	44.51086
730	1	51.00771	44.56546
730	2	51.00771	44.56546
730	3	46.53515	44.50936
731	0	55.14711	50.76335
731	1	61.66798	50.46642
731	2	61.66798	50.46642
731	3	54.64634	50.77364
732	0	41.11909	42.50667
732	1	47.79713	42.65354
732	2	47.79713	42.65354
732	3	40.61805	42.50301
733	0	49.18978	40.4044
733	1	47.51254	40.40415
733	2	47.51254	40.40415
733	3	49.95768	40.40442
734	0	47.20593	45.04707
734	1	51.00771	45.74553
734	2	51.00771	45.74553
734	3	47.20593	45.0387
740	0	40.90249	40.58392
740	1	40.68346	40.58051
740	2	40.68346	40.58051
740	3	40.92333	40.58397
741	0	41.45252	41.30362
741	1	41.70262	41.36058
741	2	41.70262	41.36058
741	3	41.44678	41.30317
742	0	40.3713	40.78551
742	1	40.08465	40.66059
742	2	40.08465	40.66059
742	3	40.40352	40.78875
743	0	42.93118	40.5022
743	1	44.0387	40.49205
743	2	44.0387	40.49205
743	3	42.82037	40.50234
744	0	39.66376	40.03421
744	1	38.65323	40.48875
744	2	38.65323	40.48875
744	3	39.78105	40.02985
750	0	42.21964	41.37214
750	1	39.63766	41.0109
750	2	39.63766	41.0109
750	3	42.3635	41.37735
751	0	42.21964	41.37214
751	1	39.63766	41.0109
751	2	39.63766	41.0109
751	3	42.3635	41.37735
752	0	42.21964	41.37214
752	1	39.63766	41.0109
752	2	39.63766	41.0109
752	3	42.3635	41.37735
753	0	42.21964	41.37214
753	1	39.63766	41.0109
753	2	39.63766	41.0109
753	3	42.3635	41.37735
800	0	44.31096	41.26391
800	1	47.11488	43.57917
800	2	47.11488	43.57917
800	3	44.21463	41.25746
810	0	41.29259	43.05029
810	1	37.50047	41.16026
810	2	37.50047	41.16026
810	3	41.31364	43.05284
811	0	39.01346	42.92997
811	1	37.50047	44.64238
811	2	37.50047	44.64238
811	3	39.01346	42.92572
812	0	42.29028	43.31696
812	1	37.50047	41.16026
812	2	37.50047	41.16026
812	3	42.29028	43.31696
813	0	39.02371	40.37917
813	1	38.90328	40.42237
813	2	38.90328	40.42237
813	3	39.02772	40.37879
814	0	36.4908	40.76056
814	1	35.91693	40.62964
814	2	35.91693	40.62964
814	3	36.50658	40.76086
815	0	44.81726	43.48671
815	1	37.50047	41.16026
815	2	37.50047	41.16026
815	3	44.81726	43.48671
816	0	43.60811	44.41116
816	1	43.89859	41.16026
816	2	43.89859	41.16026
816	3	43.60753	44.41116
817	0	43.45747	44.01857
817	1	37.50047	41.16026
817	2	37.50047	41.16026
817	3	43.45747	44.01857
818	0	41.29259	43.05029
818	1	37.50047	41.16026
818	2	37.50047	41.16026
818	3	41.31364	43.05284
820	0	45.16638	40.79041
820	1	48.26466	42.16512
820	2	48.26466	42.16512
820	3	45.07232	40.78764
821	0	41.89828	43.01551
821	1	48.26466	42.16512
821	2	48.26466	42.16512
821	3	41.89828	43.01551
822	0	43.55534	41.80707
822	1	42.70161	42.16512
822	2	42.70161	42.16512
822	3	43.55825	41.80707
823	0	41.69706	41.10213
823	1	38.44808	39.90975
823	2	38.44808	39.90975
823	3	41.83073	41.10463
824	0	39.89591	41.35257
824	1	38.44808	41.35257
824	2	38.44808	41.35257
824	3	39.96859	41.35257
825	0	50.97097	47.14217
825	1	49.62764	40.59685
825	2	49.62764	40.59685
825	3	50.98502	47.15634
826	0	42.78387	40.11847
826	1	37.9705	42.16512
826	2	37.9705	42.16512
826	3	42.78903	40.11847
827	0	43.92923	41.16813
827	1	48.98036	44.46528
827	2	48.98036	44.46528
827	3	43.72879	41.13128
828	0	54.05167	41.05846
828	1	56.91133	40.59685
828	2	56.91133	40.59685
828	3	53.86023	41.05997
829	0	47.94656	41.69132
829	1	47.94656	42.16512
829	2	47.94656	42.16512
829	3	47.94656	41.69132
830	0	44.64484	42.31133
830	1	47.34599	46.36724
830	2	47.34599	46.36724
830	3	44.51126	42.23901
831	0	43.28049	42.5613
831	1	47.34599	46.36724
831	2	47.34599	46.36724
831	3	43.28049	42.5613
832	0	46.26289	46.89516
832	1	49.20708	47.51389
832	2	49.20708	47.51389
