OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
6732	673	2	54.4	46.1	53.9	45.9
6734	673	4	54.4	46.1	53.9	45.9
6739	673	9	54.4	46.1	53.9	45.9
6742	674	2	53.9	49.7	54	49.8
6744	674	4	53.9	49.7	46.8	53.4
6749	674	9	53.9	49.7	54	49.9
6752	675	2	54.2	44.8	53.8	44.4
6754	675	4	54.2	44.8	46.8	44.4
6759	675	9	54.2	44.8	53.8	44.4
6792	679	2	53.9	49.8	53.5	49.6
6794	679	4	53.9	49.8	46.8	55.2
6799	679	9	53.9	49.8	53.4	49.7
6812	681	2	48.6	39.2	48.4	39.4
6814	681	4	48.6	39.2	48.8	45.2
6819	681	9	48.6	39.2	48.4	39.5
6822	682	2	42.2	52.8	40.6	52
6824	682	4	42.2	52.8	42.8	65.8
6829	682	9	42.2	52.8	40.6	52.2
6892	689	2	36.5	31.9	36.6	32.2
6894	689	4	36.5	31.9	38.5	40.1
6899	689	9	36.5	31.9	36.7	32.4
6912	691	2	35	47.2	34.9	44.3
6914	691	4	35	47.2	53.7	49.6
6919	691	9	35	50.2	34.9	47
6992	699	2	35	47.2	40.2	47
6994	699	4	35	47.2	34.9	49.6
6999	699	9	40.6	47.2	34.9	47
7012	701	2	29.7	27	23.1	18.6
7014	701	4	29.7	27	41.9	58.6
7019	701	9	15.4	21.1	27.9	26.4
7022	702	2	15.4	21.1	23.1	18.6
7024	702	4	15.4	21.1	41.9	58.6
7029	702	9	15.4	21.1	23.1	18.6
7032	703	2	29.6	28	29.7	25.3
7034	703	4	29.6	28	41.9	58.6
7039	703	9	29.6	28	29.7	25.3
7052	705	2	31.2	21	28.1	20
7054	705	4	31.2	21	41.9	58.6
7059	705	9	31.2	21	28.1	20
7062	706	2	32.8	30.3	31.1	29.5
7064	706	4	32.8	30.3	41.9	58.6
7069	706	9	32.8	30.3	31.1	29.5
7072	707	2	29.7	26.3	23.2	25.2
7074	707	4	29.7	26.3	41.9	58.6
7079	707	9	28	26.3	27.9	25.2
7092	709	2	28	28.3	23.2	25.8
7094	709	4	28	28.3	41.9	58.6
7099	709	9	28	28.3	25.6	30.5
7112	711	2	38.2	60.9	36.9	58.8
7114	711	4	38.2	60.9	37.2	62.8
7119	711	9	38.2	60.9	37.1	60.2
7122	712	2	49.7	62.9	50.7	58.8
7124	712	4	49.7	62.9	49.3	62.8
7129	712	9	49.7	62.9	50.3	29.5
7132	713	2	40.9	55.7	50.7	52.7
7134	713	4	40.9	55.7	46.6	62.8
7139	713	9	49.7	55.7	40.6	52.7
7142	714	2	39.5	33.7	36.2	29.7
7144	714	4	39.5	33.7	46.3	56.2
7149	714	9	39.5	33.7	39.1	32.5
7152	715	2	37	41.4	35.8	37.3
7154	715	4	37	41.4	46.3	73
7159	715	9	37	41.4	35.8	39.7
7162	716	2	45.9	28.5	44.7	26.3
7164	716	4	45.9	28.5	53.5	52.6
7169	716	9	45.9	28.5	46.5	28
7192	719	2	42.3	28.9	39.2	25.4
7194	719	4	42.3	28.9	56.5	57.7
7199	719	9	42.3	28.9	41.7	27.4
7212	721	2	37	47.6	36.1	46
7214	721	4	37	47.6	36.3	44.1
7219	721	9	37	47.6	36.2	45.2
7222	722	2	19.9	21	18.9	20.5
7224	722	4	19.9	21	47.3	44.1
7229	722	9	19.9	21	18.9	20.5
7232	723	2	35.4	28.1	33.9	27
7234	723	4	35.4	28.1	47.3	44.1
7239	723	9	35.4	28.1	36.7	27
7292	729	2	33.6	26.3	31	25
7294	729	4	33.6	26.3	38.2	44.1
7299	729	9	33.6	26.3	33.6	25.8
7312	731	2	27.8	26.2	27.2	26.1
7314	731	4	27.8	26.2	35.7	52.1
7319	731	9	27.8	26.2	27.2	26.1
7322	732	2	23.5	14.1	23.4	11.1
7324	732	4	23.5	14.1	35.7	11.1
7329	732	9	23.5	14.1	23.4	11.1
7332	733	2	26.4	16.1	26.8	16.9
7334	733	4	26.4	16.1	35.7	16.9
7339	733	9	26.4	16.1	26.8	16.9
7352	735	2	19.5	19.6	17.5	19.3
7354	735	4	19.5	19.6	35.7	19.3
7359	735	9	19.5	19.6	17.5	19.3
7362	736	2	35.6	10.4	34.2	7.4
7364	736	4	35.6	10.4	44.3	52.1
7369	736	9	35.6	10.4	35.6	7.4
7372	737	2	21.2	10.9	20.5	9.4
7374	737	4	21.2	10.9	35.7	52.1
7379	737	9	21.2	10.9	20.5	9.4
7392	739	2	25.6	22.1	26	22
7394	739	4	25.6	22.1	35.7	52.1
7399	739	9	25.6	22.1	26.1	22
7412	741	2	46.7	38.2	46.3	36.3
7414	741	4	46.7	38.2	57.6	61.7
7419	741	9	46.7	38.2	46.7	36.3
7422	742	2	53.1	51	49.5	48.1
7424	742	4	53.1	51	50.7	70.8
7429	742	9	53.1	51	49.9	48.1
7432	743	2	59.2	58.9	55.7	57.5
7434	743	4	59.2	58.9	68.6	69.8
7439	743	9	59.2	58.9	57.1	57.5
7442	744	2	60.3	59.6	60.9	58.3
7444	744	4	60.3	59.6	64.9	69.8
7449	744	9	60.3	59.6	61.5	59.3
7452	745	2	56.2	56.5	54	52.4
7454	745	4	56.2	56.5	60.7	70.8
7459	745	9	56.2	56.5	56.1	56.5
7462	746	2	48	40.2	42.8	33.6
