soc2000	stdempst	usempst	mcamsis	fcamsis
170	5	2	84.8	75.2
170	6	-2	84.79	75.2
171	-6	5	59.4	75.2
171	-5	4	59.4	75.2
171	-4	3	78.6	96.2
171	-3	1	84.9	94.8
171	0	0	60.41	76.83
171	1	-1	83.32	94.8
171	2	-5	83.32	94.8
171	5	2	59.4	75.5
171	6	-2	59.4	75.2
172	-6	5	70.4	70.4
172	-5	4	67.5	70.2
172	-4	3	78.6	70.3
172	-3	1	84.9	94.8
172	0	0	70.15	70.47
172	1	-1	79.71	86.63
172	2	-5	79.71	86.63
172	5	2	70	70.3
172	6	-2	69.94	70.36
173	-6	5	66.6	67.2
173	-5	4	73.8	78.2
173	-4	3	80.7	96.2
173	-3	1	82.9	95.8
173	0	0	75	82.58
173	1	-1	78.2	89.16
173	2	-5	81.8	96
173	5	2	71	75.5
173	6	-2	70.2	72.7
174	-6	5	73.5	75.6
174	-5	4	68.8	74.3
174	-4	3	78.6	94.8
174	-3	1	84.9	94.8
174	0	0	71.96	76.36
174	1	-1	81.09	94.8
174	2	-5	81.09	94.8
174	5	2	71.9	75
174	6	-2	71.21	75.01
175	-6	5	66.6	67.2
175	-5	4	73.8	78.2
175	-4	3	80.7	96.2
175	-3	1	82.9	95.8
175	0	0	75	82.58
175	1	-1	78.2	89.16
175	2	-5	81.8	96
175	5	2	71	75.5
175	6	-2	70.2	72.7
176	-6	5	81.6	77.9
176	-5	4	91	89.6
176	-4	3	78.6	84.5
176	-3	1	84.9	94.8
176	0	0	85.93	83.84
176	1	-1	83.2	94.8
176	2	-5	83.2	94.8
176	5	2	85.9	84.5
176	6	-2	86.01	83.66
180	-6	5	92.5	85.4
180	-5	4	77.4	85.8
180	-4	3	81.5	85.8
180	-3	1	79.4	85.7
180	0	0	81.81	85.66
180	1	-1	80.33	85.75
180	2	-5	80.33	85.75
180	5	2	82	85.7
180	6	-2	81.95	85.66
181	-6	5	74.3	67.9
181	-5	4	74.3	74
181	-4	3	81.5	85.8
181	-3	1	79.4	85.7
181	0	0	75.52	71.24
181	1	-1	80.09	85.72
181	2	-5	80.07	85.72
181	5	2	81.5	72
181	6	-2	74.3	68.46
182	-6	5	88.2	82.8
182	-5	4	83.2	79.8
182	-4	3	85.2	99
182	-3	1	91.5	99
182	0	0	86.49	88.23
182	1	-1	90.09	98.96
182	2	-5	90.1	99
182	5	2	85.2	88.1
182	6	-2	84.15	80.47
183	-6	5	66.6	67.2
183	-5	4	73.8	78.2
183	-4	3	80.7	96.2
183	-3	1	82.9	95.8
183	0	0	75	82.58
183	1	-1	78.2	89.16
183	2	-5	81.8	96
183	5	2	71	75.5
183	6	-2	70.2	72.7
184	-6	5	59.4	73.4
184	-5	4	70.4	73.4
184	-4	3	81.5	85.8
184	-3	1	79.4	85.7
184	0	0	69.04	74.07
184	1	-1	80.66	85.73
184	2	-5	80.66	85.73
184	5	2	68.7	73.4
